code_module,code_presentation,id_student,pre_course_clicks,pre_course_interaction_rows
AAA,2013J,258894,180,47
AAA,2013J,260355,31,14
AAA,2013J,262011,47,16
AAA,2013J,262934,265,59
AAA,2013J,268073,45,9
AAA,2013J,268733,1,1
AAA,2013J,271251,289,58
AAA,2013J,277880,137,20
AAA,2013J,279572,155,37
AAA,2013J,281022,12,6
AAA,2013J,281250,51,20
AAA,2013J,281589,25,7
AAA,2013J,282821,219,42
AAA,2013J,286488,25,13
AAA,2013J,287548,51,8
AAA,2013J,290201,8,3
AAA,2013J,290757,1,1
AAA,2013J,291334,390,88
AAA,2013J,293699,5,3
AAA,2013J,294570,157,27
AAA,2013J,295741,2,1
AAA,2013J,296332,254,54
AAA,2013J,298696,59,22
AAA,2013J,300398,312,50
AAA,2013J,302302,34,10
AAA,2013J,305152,9,4
AAA,2013J,305386,195,53
AAA,2013J,305539,68,26
AAA,2013J,306466,154,34
AAA,2013J,306897,353,106
AAA,2013J,307061,88,20
AAA,2013J,307866,51,15
AAA,2013J,311917,180,37
AAA,2013J,312537,669,88
AAA,2013J,312782,50,16
AAA,2013J,318933,199,54
AAA,2013J,319047,272,61
AAA,2013J,321942,805,94
AAA,2013J,324002,161,40
AAA,2013J,324084,136,36
AAA,2013J,324282,31,11
AAA,2013J,331358,488,95
AAA,2013J,332789,188,39
AAA,2013J,333059,1,1
AAA,2013J,333323,25,12
AAA,2013J,334259,59,21
AAA,2013J,334333,130,28
AAA,2013J,335764,214,43
AAA,2013J,336207,26,11
AAA,2013J,339972,30,13
AAA,2013J,342007,65,17
AAA,2013J,342514,289,58
AAA,2013J,342972,159,53
AAA,2013J,343446,128,43
AAA,2013J,345068,3,3
AAA,2013J,345357,160,41
AAA,2013J,346025,11,3
AAA,2013J,350188,26,15
AAA,2013J,354858,144,31
AAA,2013J,364177,35,22
AAA,2013J,365244,111,31
AAA,2013J,365642,196,47
AAA,2013J,366483,95,15
AAA,2013J,368194,77,22
AAA,2013J,368824,53,12
AAA,2013J,368963,43,18
AAA,2013J,376439,374,69
AAA,2013J,380953,75,26
AAA,2013J,383254,6,4
AAA,2013J,386952,150,40
AAA,2013J,388722,63,21
AAA,2013J,388885,121,21
AAA,2013J,390890,45,13
AAA,2013J,392756,32,13
AAA,2013J,392931,60,23
AAA,2013J,393207,22,8
AAA,2013J,396872,26,8
AAA,2013J,398552,12,6
AAA,2013J,401869,131,37
AAA,2013J,402470,164,49
AAA,2013J,404804,161,43
AAA,2013J,405088,196,55
AAA,2013J,414117,29,15
AAA,2013J,415969,337,66
AAA,2013J,441018,114,40
AAA,2013J,441888,9,7
AAA,2013J,442442,112,32
AAA,2013J,444677,48,8
AAA,2013J,470588,47,17
AAA,2013J,489455,441,57
AAA,2013J,494424,15,6
AAA,2013J,498857,47,8
AAA,2013J,508818,64,13
AAA,2013J,512460,19,8
AAA,2013J,544103,288,63
AAA,2013J,550383,105,26
AAA,2013J,564450,32,11
AAA,2013J,572652,2,1
AAA,2013J,580389,106,25
AAA,2013J,588775,105,23
AAA,2013J,591774,60,16
AAA,2013J,603861,37,5
AAA,2013J,606143,74,15
AAA,2013J,704156,103,29
AAA,2013J,705379,446,88
AAA,2013J,721259,466,92
AAA,2013J,749412,321,60
AAA,2013J,760729,430,74
AAA,2013J,905042,277,47
AAA,2013J,949618,122,38
AAA,2013J,958987,26,11
AAA,2013J,968578,43,10
AAA,2013J,969076,40,18
AAA,2013J,971027,218,47
AAA,2013J,978739,487,73
AAA,2013J,1035023,88,23
AAA,2013J,1105478,180,55
AAA,2013J,1352868,35,11
AAA,2013J,1401935,57,24
AAA,2013J,1402638,102,26
AAA,2013J,1414443,43,25
AAA,2013J,1456619,150,42
AAA,2013J,1465690,166,63
AAA,2013J,1488959,164,40
AAA,2013J,1518989,100,27
AAA,2013J,1620151,113,26
AAA,2013J,1626710,739,112
AAA,2013J,1640609,490,72
AAA,2013J,1686521,148,53
AAA,2013J,1729319,173,40
AAA,2013J,1746134,55,9
AAA,2013J,1758449,484,80
AAA,2013J,1763015,420,30
AAA,2013J,1765788,550,81
AAA,2013J,1801229,24,7
AAA,2013J,1801641,65,20
AAA,2013J,1847830,135,28
AAA,2013J,1860318,257,52
AAA,2013J,1889511,67,22
AAA,2013J,1889577,4,2
AAA,2013J,1894188,292,42
AAA,2013J,1938355,248,58
AAA,2013J,1942396,101,21
AAA,2013J,1970390,657,95
AAA,2013J,1976139,211,50
AAA,2013J,2011876,39,15
AAA,2013J,2012966,36,14
AAA,2013J,2051699,47,23
AAA,2013J,2062879,200,43
AAA,2013J,2065691,1,1
AAA,2013J,2073016,27,10
AAA,2013J,2080474,44,17
AAA,2013J,2083877,92,24
AAA,2013J,2084066,125,24
AAA,2013J,2104505,1,1
AAA,2013J,2122180,400,60
AAA,2013J,2139353,14,9
AAA,2013J,2143752,122,19
AAA,2013J,2146792,148,43
AAA,2013J,2149225,238,67
AAA,2013J,2155014,103,15
AAA,2013J,2164705,30,14
AAA,2013J,2171627,116,29
AAA,2013J,2182846,321,69
AAA,2013J,2194100,26,11
AAA,2013J,2197016,193,40
AAA,2013J,2208424,127,39
AAA,2013J,2229865,98,33
AAA,2013J,2255601,54,18
AAA,2013J,2268379,60,14
AAA,2013J,2278464,83,16
AAA,2013J,2293923,145,39
AAA,2013J,2312620,156,44
AAA,2013J,2339528,2,1
AAA,2013J,2342426,62,19
AAA,2013J,2344901,29,10
AAA,2013J,2358056,186,46
AAA,2013J,2358969,146,29
AAA,2013J,2364471,563,90
AAA,2013J,2367155,58,7
AAA,2013J,2369266,138,24
AAA,2013J,2376496,56,21
AAA,2013J,2391984,1,1
AAA,2013J,2411661,75,14
AAA,2013J,2411778,356,41
AAA,2013J,2412002,537,86
AAA,2013J,2412967,167,32
AAA,2013J,2437837,190,30
AAA,2013J,2449878,10,6
AAA,2013J,2456480,29,15
AAA,2013J,2457256,85,28
AAA,2013J,2458355,341,54
AAA,2013J,2460080,213,40
AAA,2013J,2461190,17,12
AAA,2013J,2469673,24,2
AAA,2013J,2470694,166,51
AAA,2013J,2479954,62,18
AAA,2013J,2481901,302,39
AAA,2013J,2482700,90,17
AAA,2013J,2486127,69,13
AAA,2013J,2498700,60,23
AAA,2013J,2516503,127,35
AAA,2013J,2518069,76,13
AAA,2013J,2521459,13,9
AAA,2013J,2523736,41,18
AAA,2013J,2529279,154,36
AAA,2013J,2532302,42,13
AAA,2013J,2536991,61,18
AAA,2013J,2542724,169,36
AAA,2013J,2550279,156,34
AAA,2013J,2551220,113,23
AAA,2013J,2552472,2,2
AAA,2013J,2555340,234,45
AAA,2013J,2557283,524,72
AAA,2013J,2559575,154,48
AAA,2013J,2562034,10,6
AAA,2013J,2566163,18,6
AAA,2013J,2566592,117,40
AAA,2013J,2569324,4,2
AAA,2013J,2574528,40,8
AAA,2013J,2574583,136,32
AAA,2013J,2576122,35,16
AAA,2013J,2578995,155,36
AAA,2013J,2586560,228,41
AAA,2013J,2594139,201,32
AAA,2013J,2598871,260,43
AAA,2013J,2599352,33,14
AAA,2013J,2600688,66,16
AAA,2013J,2606098,53,19
AAA,2013J,2613116,165,35
AAA,2013J,2617002,63,24
AAA,2013J,2620584,45,15
AAA,2013J,2639449,44,16
AAA,2013J,2639540,71,37
AAA,2013J,2639641,121,35
AAA,2013J,2641155,411,86
AAA,2013J,2643002,308,75
AAA,2013J,2645733,131,21
AAA,2013J,2649826,421,61
AAA,2013J,2650282,6,4
AAA,2013J,2664024,10,4
AAA,2013J,2666246,50,19
AAA,2013J,2669816,11,6
AAA,2013J,2671132,216,37
AAA,2013J,2676809,31,13
AAA,2013J,2678643,177,55
AAA,2013J,2685865,139,33
AAA,2013J,2688067,44,15
AAA,2013J,2689958,184,75
AAA,2013J,2691206,228,58
AAA,2013J,2691244,20,15
AAA,2013J,2694424,14,5
AAA,2013J,2698257,24,8
AAA,2014J,6516,256,53
AAA,2014J,24734,30,15
AAA,2014J,26192,241,71
AAA,2014J,28061,349,114
AAA,2014J,31600,90,25
AAA,2014J,46844,17,7
AAA,2014J,52765,890,173
AAA,2014J,55104,356,100
AAA,2014J,58071,1402,200
AAA,2014J,58316,146,48
AAA,2014J,62487,16,5
AAA,2014J,63165,8,4
AAA,2014J,70011,291,60
AAA,2014J,75255,65,24
AAA,2014J,79403,153,30
AAA,2014J,85092,26,6
AAA,2014J,85144,34,17
AAA,2014J,85302,72,20
AAA,2014J,87431,16,7
AAA,2014J,94961,20,9
AAA,2014J,95755,25,11
AAA,2014J,101116,158,53
AAA,2014J,107489,304,67
AAA,2014J,108872,96,26
AAA,2014J,109155,191,46
AAA,2014J,111512,256,70
AAA,2014J,117818,65,32
AAA,2014J,119902,271,48
AAA,2014J,124064,72,26
AAA,2014J,125018,81,23
AAA,2014J,129955,1,1
AAA,2014J,130034,118,51
AAA,2014J,130547,206,40
AAA,2014J,130636,112,41
AAA,2014J,131390,89,20
AAA,2014J,133816,148,26
AAA,2014J,133922,59,14
AAA,2014J,135335,4,2
AAA,2014J,135400,54,14
AAA,2014J,135471,333,76
AAA,2014J,139033,33,12
AAA,2014J,141377,1,1
AAA,2014J,141506,74,28
AAA,2014J,146503,39,16
AAA,2014J,147756,51,15
AAA,2014J,148993,91,22
AAA,2014J,149741,543,90
AAA,2014J,149962,3,3
AAA,2014J,151587,32,11
AAA,2014J,152668,164,47
AAA,2014J,155984,44,11
AAA,2014J,158707,579,82
AAA,2014J,159954,78,33
AAA,2014J,164944,25,8
AAA,2014J,165226,419,80
AAA,2014J,167961,148,39
AAA,2014J,174024,85,21
AAA,2014J,174094,603,106
AAA,2014J,174745,111,41
AAA,2014J,175447,474,101
AAA,2014J,175772,1407,184
AAA,2014J,183057,210,44
AAA,2014J,185350,76,14
AAA,2014J,188278,67,31
AAA,2014J,199636,77,21
AAA,2014J,200804,22,10
AAA,2014J,205494,288,62
AAA,2014J,228021,188,65
AAA,2014J,228383,63,26
AAA,2014J,232307,53,12
AAA,2014J,235068,263,49
AAA,2014J,235507,124,60
AAA,2014J,236875,18,9
AAA,2014J,237274,139,54
AAA,2014J,243510,45,13
AAA,2014J,244246,303,67
AAA,2014J,248581,184,61
AAA,2014J,252073,4,4
AAA,2014J,254625,216,67
AAA,2014J,258587,969,133
AAA,2014J,260623,76,21
AAA,2014J,263251,129,21
AAA,2014J,263543,110,33
AAA,2014J,263952,246,67
AAA,2014J,266524,52,29
AAA,2014J,273346,284,73
AAA,2014J,274947,2,2
AAA,2014J,275674,410,121
AAA,2014J,275792,49,26
AAA,2014J,277123,81,17
AAA,2014J,277880,3,1
AAA,2014J,281077,99,25
AAA,2014J,281636,394,102
AAA,2014J,285315,17,10
AAA,2014J,287040,334,71
AAA,2014J,287204,68,29
AAA,2014J,287210,715,114
AAA,2014J,288994,9,5
AAA,2014J,289449,201,56
AAA,2014J,290164,438,109
AAA,2014J,292525,1,1
AAA,2014J,292775,233,81
AAA,2014J,293824,1076,134
AAA,2014J,294496,186,51
AAA,2014J,294655,106,28
AAA,2014J,295060,76,32
AAA,2014J,295075,107,26
AAA,2014J,296424,368,96
AAA,2014J,298034,58,12
AAA,2014J,298838,125,31
AAA,2014J,301967,1,1
AAA,2014J,302476,102,30
AAA,2014J,303521,130,45
AAA,2014J,304465,175,59
AAA,2014J,309142,44,21
AAA,2014J,310412,30,7
AAA,2014J,311235,83,31
AAA,2014J,313937,247,72
AAA,2014J,315076,204,49
AAA,2014J,315744,752,153
AAA,2014J,323370,204,57
AAA,2014J,328024,285,82
AAA,2014J,329659,80,24
AAA,2014J,330594,125,44
AAA,2014J,331358,34,13
AAA,2014J,332884,105,52
AAA,2014J,334441,33,12
AAA,2014J,335247,51,26
AAA,2014J,335764,308,74
AAA,2014J,337748,24,9
AAA,2014J,338407,41,8
AAA,2014J,341876,454,125
AAA,2014J,342007,22,8
AAA,2014J,345440,16,9
AAA,2014J,345519,88,25
AAA,2014J,346118,111,21
AAA,2014J,348275,24,18
AAA,2014J,348807,63,31
AAA,2014J,350156,98,44
AAA,2014J,350939,64,14
AAA,2014J,351336,160,57
AAA,2014J,353665,38,15
AAA,2014J,354170,381,86
AAA,2014J,358182,206,58
AAA,2014J,364957,310,72
AAA,2014J,369834,92,33
AAA,2014J,371710,40,11
AAA,2014J,373872,121,13
AAA,2014J,375260,56,22
AAA,2014J,377546,45,17
AAA,2014J,381642,96,24
AAA,2014J,382095,141,36
AAA,2014J,383180,216,55
AAA,2014J,383723,959,166
AAA,2014J,384203,846,105
AAA,2014J,384725,505,89
AAA,2014J,387533,395,98
AAA,2014J,387954,175,16
AAA,2014J,388147,34,13
AAA,2014J,390890,75,26
AAA,2014J,391249,185,63
AAA,2014J,396599,305,81
AAA,2014J,396655,3,2
AAA,2014J,398171,158,44
AAA,2014J,398349,164,40
AAA,2014J,400147,11,7
AAA,2014J,400682,161,53
AAA,2014J,401404,94,21
AAA,2014J,402204,107,21
AAA,2014J,402727,73,33
AAA,2014J,402961,263,53
AAA,2014J,404356,394,82
AAA,2014J,406671,61,19
AAA,2014J,406682,350,68
AAA,2014J,409100,271,54
AAA,2014J,409703,211,58
AAA,2014J,410092,41,13
AAA,2014J,411971,54,18
AAA,2014J,415969,7,4
AAA,2014J,421455,175,38
AAA,2014J,424577,435,72
AAA,2014J,429858,6,1
AAA,2014J,431025,32,9
AAA,2014J,439305,62,21
AAA,2014J,440319,104,37
AAA,2014J,442064,7,5
AAA,2014J,442132,13,4
AAA,2014J,446108,4,4
AAA,2014J,447481,27,14
AAA,2014J,468120,10,6
AAA,2014J,468694,15,10
AAA,2014J,470588,29,13
AAA,2014J,470982,468,59
AAA,2014J,476603,116,36
AAA,2014J,481022,4,3
AAA,2014J,483800,160,47
AAA,2014J,484897,72,24
AAA,2014J,485962,68,32
AAA,2014J,488990,209,53
AAA,2014J,500113,10,3
AAA,2014J,503889,90,17
AAA,2014J,514526,45,20
AAA,2014J,518808,3,1
AAA,2014J,522482,49,21
AAA,2014J,527100,97,26
AAA,2014J,527801,176,46
AAA,2014J,533068,52,17
AAA,2014J,537081,5,3
AAA,2014J,544253,350,93
AAA,2014J,548120,38,17
AAA,2014J,561467,51,18
AAA,2014J,569505,135,34
AAA,2014J,570317,68,15
AAA,2014J,574505,3,1
AAA,2014J,588477,1123,156
AAA,2014J,593846,178,24
AAA,2014J,593987,107,41
AAA,2014J,596288,1,1
AAA,2014J,598070,3,1
AAA,2014J,603834,1,1
AAA,2014J,603861,13,9
AAA,2014J,608440,187,50
AAA,2014J,623840,114,21
AAA,2014J,626240,18,10
AAA,2014J,628088,95,27
AAA,2014J,637665,256,67
AAA,2014J,639053,5,2
AAA,2014J,642878,94,21
AAA,2014J,648130,86,26
AAA,2014J,676546,65,26
AAA,2014J,677186,29,12
AAA,2014J,677281,40,14
AAA,2014J,684180,48,17
AAA,2014J,696073,207,51
AAA,2014J,696578,669,104
AAA,2014J,721259,648,136
AAA,2014J,852847,100,26
AAA,2014J,998493,1147,160
AAA,2014J,1045203,496,102
AAA,2014J,1112555,115,33
AAA,2014J,1183831,199,62
AAA,2014J,1268696,28,8
AAA,2014J,1336190,86,28
AAA,2014J,1352868,27,12
AAA,2014J,1398979,567,169
AAA,2014J,1456619,111,34
AAA,2014J,1484804,75,34
AAA,2014J,1511033,59,22
AAA,2014J,1576513,1705,187
AAA,2014J,1609002,111,33
AAA,2014J,1629771,21,6
AAA,2014J,1676594,17,2
AAA,2014J,1686551,151,60
AAA,2014J,1689639,285,66
AAA,2014J,1715896,701,130
AAA,2014J,1721270,14,8
AAA,2014J,1757766,144,44
AAA,2014J,1773377,184,57
AAA,2014J,1799111,79,24
AAA,2014J,1818673,20,10
AAA,2014J,1839386,2,2
AAA,2014J,1926668,71,28
AAA,2014J,1947156,108,26
AAA,2014J,1967783,210,34
AAA,2014J,1970390,86,33
AAA,2014J,1975209,333,87
AAA,2014J,2010232,54,11
AAA,2014J,2045084,76,37
AAA,2014J,2057803,512,88
AAA,2014J,2073016,12,5
AAA,2014J,2085209,475,113
AAA,2014J,2086400,163,73
AAA,2014J,2139353,7,5
AAA,2014J,2148681,263,52
AAA,2014J,2158048,227,33
AAA,2014J,2158196,78,41
AAA,2014J,2165164,179,60
AAA,2014J,2240349,363,77
AAA,2014J,2244332,976,158
AAA,2014J,2273119,20,8
AAA,2014J,2277857,455,99
AAA,2014J,2297896,97,25
AAA,2014J,2313257,28,10
AAA,2014J,2318055,264,52
AAA,2014J,2330254,515,91
AAA,2014J,2355470,6,5
AAA,2014J,2358969,49,20
AAA,2014J,2363863,78,22
AAA,2014J,2369415,238,56
AAA,2014J,2375975,679,140
AAA,2014J,2397661,52,10
AAA,2014J,2398313,632,117
AAA,2014J,2404408,124,33
AAA,2014J,2425993,7,4
AAA,2014J,2429854,149,44
AAA,2014J,2432796,45,12
AAA,2014J,2434159,32,13
AAA,2014J,2436812,38,11
AAA,2014J,2470694,160,58
AAA,2014J,2473538,139,59
AAA,2014J,2494700,180,57
AAA,2014J,2500258,139,22
AAA,2014J,2507842,308,65
AAA,2014J,2509639,55,15
AAA,2014J,2514368,91,35
AAA,2014J,2514898,259,84
AAA,2014J,2521865,319,63
AAA,2014J,2522927,961,185
AAA,2014J,2540168,256,55
AAA,2014J,2546445,518,126
AAA,2014J,2551797,223,82
AAA,2014J,2551932,28,8
AAA,2014J,2569324,23,5
AAA,2014J,2574990,298,53
AAA,2014J,2576122,2,1
AAA,2014J,2578676,180,40
AAA,2014J,2581477,737,141
AAA,2014J,2584873,51,19
AAA,2014J,2595841,73,27
AAA,2014J,2596621,789,134
AAA,2014J,2601889,312,105
AAA,2014J,2606802,1,1
AAA,2014J,2624961,2,1
AAA,2014J,2630087,90,34
AAA,2014J,2633226,252,38
AAA,2014J,2642616,324,89
AAA,2014J,2642935,709,118
AAA,2014J,2648611,166,63
AAA,2014J,2649800,105,27
AAA,2014J,2654628,268,54
AAA,2014J,2677624,193,45
AAA,2014J,2680312,140,19
AAA,2014J,2690062,10,5
AAA,2014J,2692514,852,113
AAA,2014J,2694788,24,11
BBB,2013B,23629,14,3
BBB,2013B,25107,5,5
BBB,2013B,27891,16,10
BBB,2013B,29144,12,7
BBB,2013B,31663,292,82
BBB,2013B,34229,21,10
BBB,2013B,39655,8,6
BBB,2013B,50993,5,2
BBB,2013B,52899,489,46
BBB,2013B,62631,43,11
BBB,2013B,70608,2,1
BBB,2013B,71433,14,9
BBB,2013B,74695,136,55
BBB,2013B,75399,11,7
BBB,2013B,78645,21,14
BBB,2013B,82535,9,7
BBB,2013B,83254,6,5
BBB,2013B,84245,68,28
BBB,2013B,84664,53,24
BBB,2013B,87732,8,8
BBB,2013B,91322,19,10
BBB,2013B,92274,16,7
BBB,2013B,92832,54,16
BBB,2013B,92947,71,21
BBB,2013B,92993,49,28
BBB,2013B,94616,12,11
BBB,2013B,102849,1,1
BBB,2013B,104054,36,12
BBB,2013B,108377,251,62
BBB,2013B,108589,17,8
BBB,2013B,116603,84,14
BBB,2013B,123860,82,38
BBB,2013B,126322,9,4
BBB,2013B,128776,25,14
BBB,2013B,133748,84,29
BBB,2013B,143741,72,15
BBB,2013B,151697,25,12
BBB,2013B,152153,14,8
BBB,2013B,152910,13,9
BBB,2013B,153704,23,15
BBB,2013B,154027,33,19
BBB,2013B,154540,6,3
BBB,2013B,156835,86,22
BBB,2013B,165243,109,35
BBB,2013B,169515,42,21
BBB,2013B,170356,56,31
BBB,2013B,173335,10,9
BBB,2013B,177639,27,13
BBB,2013B,179605,24,13
BBB,2013B,182824,47,24
BBB,2013B,183806,14,5
BBB,2013B,185349,140,23
BBB,2013B,186670,75,31
BBB,2013B,187793,24,8
BBB,2013B,188152,27,14
BBB,2013B,192424,23,12
BBB,2013B,193822,24,8
BBB,2013B,197595,52,25
BBB,2013B,198956,36,12
BBB,2013B,199520,39,16
BBB,2013B,200863,38,12
BBB,2013B,200905,212,75
BBB,2013B,203481,34,13
BBB,2013B,203652,6,6
BBB,2013B,204746,81,20
BBB,2013B,226374,13,9
BBB,2013B,226827,17,13
BBB,2013B,228049,14,7
BBB,2013B,229240,16,9
BBB,2013B,229426,29,14
BBB,2013B,232695,115,28
BBB,2013B,235097,71,20
BBB,2013B,237304,9,6
BBB,2013B,237913,122,42
BBB,2013B,242149,69,27
BBB,2013B,247267,43,18
BBB,2013B,248103,76,21
BBB,2013B,251351,14,7
BBB,2013B,252340,22,7
BBB,2013B,253250,418,61
BBB,2013B,255347,61,28
BBB,2013B,255998,4,3
BBB,2013B,258402,1,1
BBB,2013B,262294,64,26
BBB,2013B,262454,38,16
BBB,2013B,263499,448,91
BBB,2013B,267761,122,49
BBB,2013B,269076,96,37
BBB,2013B,270399,9,8
BBB,2013B,270567,14,5
BBB,2013B,271036,13,6
BBB,2013B,272580,6,5
BBB,2013B,273731,23,14
BBB,2013B,273877,23,10
BBB,2013B,276717,141,29
BBB,2013B,277733,15,9
BBB,2013B,278447,62,19
BBB,2013B,280962,2,1
BBB,2013B,281564,1,1
BBB,2013B,284076,30,25
BBB,2013B,285912,51,17
BBB,2013B,290550,12,6
BBB,2013B,291037,5,5
BBB,2013B,291194,16,13
BBB,2013B,292027,14,8
BBB,2013B,294381,10,7
BBB,2013B,294961,27,21
BBB,2013B,295754,21,16
BBB,2013B,297484,91,28
BBB,2013B,298322,141,79
BBB,2013B,305945,6,3
BBB,2013B,306886,10,7
BBB,2013B,309734,5,2
BBB,2013B,311042,21,7
BBB,2013B,312141,22,8
BBB,2013B,313810,76,24
BBB,2013B,315186,32,13
BBB,2013B,316841,201,52
BBB,2013B,318056,35,11
BBB,2013B,318101,51,15
BBB,2013B,319209,55,29
BBB,2013B,322960,90,35
BBB,2013B,324236,169,35
BBB,2013B,325879,17,7
BBB,2013B,329226,10,7
BBB,2013B,329321,120,36
BBB,2013B,329800,46,19
BBB,2013B,331354,21,7
BBB,2013B,331844,87,20
BBB,2013B,333129,29,12
BBB,2013B,333837,28,11
BBB,2013B,334291,16,7
BBB,2013B,334794,26,15
BBB,2013B,335421,1,1
BBB,2013B,335910,33,14
BBB,2013B,338861,20,10
BBB,2013B,339526,29,10
BBB,2013B,340378,6,5
BBB,2013B,340831,9,6
BBB,2013B,341040,7,3
BBB,2013B,341509,4,4
BBB,2013B,349040,228,47
BBB,2013B,349424,12,4
BBB,2013B,350622,7,4
BBB,2013B,351271,50,32
BBB,2013B,352161,7,4
BBB,2013B,352364,53,18
BBB,2013B,353093,28,19
BBB,2013B,353352,1,1
BBB,2013B,354895,42,21
BBB,2013B,355369,7,4
BBB,2013B,357030,3,3
BBB,2013B,360188,90,39
BBB,2013B,360489,33,13
BBB,2013B,360877,22,14
BBB,2013B,361603,14,10
BBB,2013B,362760,100,28
BBB,2013B,362877,52,14
BBB,2013B,363401,4,4
BBB,2013B,363660,55,25
BBB,2013B,365452,80,21
BBB,2013B,365707,71,46
BBB,2013B,367304,11,9
BBB,2013B,367609,166,34
BBB,2013B,368439,8,3
BBB,2013B,371679,56,26
BBB,2013B,374102,68,29
BBB,2013B,374234,42,22
BBB,2013B,376617,17,12
BBB,2013B,377759,9,8
BBB,2013B,377846,485,54
BBB,2013B,378543,3,1
BBB,2013B,378721,13,5
BBB,2013B,379402,9,4
BBB,2013B,381722,31,8
BBB,2013B,383828,8,5
BBB,2013B,384678,98,41
BBB,2013B,385034,39,20
BBB,2013B,386348,128,32
BBB,2013B,387702,3,3
BBB,2013B,388205,37,16
BBB,2013B,388360,4,3
BBB,2013B,388410,35,13
BBB,2013B,388484,41,12
BBB,2013B,389369,6,5
BBB,2013B,390220,53,10
BBB,2013B,390442,2,2
BBB,2013B,392213,7,3
BBB,2013B,392281,6,2
BBB,2013B,392428,23,10
BBB,2013B,392614,9,4
BBB,2013B,395107,10,5
BBB,2013B,397118,69,25
BBB,2013B,397763,25,10
BBB,2013B,398084,2,2
BBB,2013B,400469,47,13
BBB,2013B,400474,68,36
BBB,2013B,400894,1,1
BBB,2013B,401339,94,41
BBB,2013B,401349,100,29
BBB,2013B,403093,18,11
BBB,2013B,404022,145,26
BBB,2013B,404727,32,16
BBB,2013B,405471,67,18
BBB,2013B,405746,32,15
BBB,2013B,406311,19,13
BBB,2013B,406974,46,17
BBB,2013B,408112,31,13
BBB,2013B,409662,103,25
BBB,2013B,410739,28,15
BBB,2013B,413984,36,14
BBB,2013B,415716,8,2
BBB,2013B,415760,14,11
BBB,2013B,416007,120,41
BBB,2013B,416314,51,15
BBB,2013B,416654,118,41
BBB,2013B,418325,55,20
BBB,2013B,423314,13,7
BBB,2013B,423317,7,5
BBB,2013B,423871,723,62
BBB,2013B,425808,77,43
BBB,2013B,425817,3,1
BBB,2013B,425820,36,18
BBB,2013B,426650,22,9
BBB,2013B,427536,35,18
